-0.177550	-0.177550	-0.177550	
-1.431751	-1.431751	-1.431751	
-0.009535	-0.009535	-0.009535	
0.082234	0.082234	0.082234	
-0.592289	-0.592289	-0.592289	
0.066533	0.066533	0.066533	
-0.171484	-0.171484	-0.171484	
-0.001040	-0.001040	-0.001040	
-0.079390	-0.079390	-0.079390	
-0.526115	-0.526115	-0.526115	
-0.187501	-0.187501	-0.187501	
0.081494	0.081494	0.081494	
-0.001152	-0.001152	-0.001152	
0.106270	0.106270	0.106270	
-0.000079	-0.000079	-0.000079	
-0.100242	-0.100242	-0.100242	
0.001163	0.001163	0.001163	
-0.962457	-0.962457	-0.962457	
-0.291228	-0.291228	-0.291228	
-0.096315	-0.096315	-0.096315	
