0.368818	0.441466	0.000616	0.644098	-0.000234	0.911932	-0.602553	1.187231	1.577054	0.323510	
-0.276909	0.674759	0.000934	-0.562600	-0.001351	-0.695035	-0.099173	-1.864299	-0.287874	0.366263	
0.010734	0.004370	-0.000000	-0.000515	-0.000000	0.002301	0.003283	-0.000136	-0.002991	-0.012379	
-1.086974	-0.257038	0.000042	-0.690604	0.000054	0.716786	0.096388	-0.430730	-1.015172	-1.341278	
1.329613	0.147493	0.000600	-0.062314	-0.001340	0.129146	0.871836	-0.408029	0.282667	0.499469	
0.003953	0.025123	-0.000000	0.051257	-0.000000	0.036420	-0.026533	0.005850	-0.073844	0.007358	
1.256087	0.620058	0.000080	0.410167	0.000027	-0.877857	0.218483	1.835827	-0.804717	-0.651462	
-0.732489	-0.206763	0.000329	0.809188	-0.000140	0.468036	-0.142529	1.241104	-0.791780	-0.305788	
-0.907049	-1.362435	0.000253	0.487307	-0.000001	0.521465	0.053726	-0.410854	-0.659996	-2.262822	
0.096937	-0.947993	0.000068	-0.071124	0.000025	0.140672	0.755402	-0.718802	0.022316	0.883798	
