0.0000000000000000 0.1460167974903936 -0.0000000000000005  169.0845686854786720
0.0004882812500000 0.1460173029141002 0.0010955425132123  169.0853921749426831
0.0009765625000000 0.1460188181583345 0.0021898336196142  169.0878609664602550
0.0014648437500000 0.1460213401187518 0.0032816533834679  169.0919699916965726
0.0019531250000000 0.1460248635467540 0.0043698435795459  169.0977106845987237
0.0024414062500000 0.1460293809519136 0.0054533355113206  169.1050708264349964
0.0029296875000000 0.1460348824925773 0.0065311743056297  169.1140343726523270
0.0034179687500000 0.1460413558779811 0.0076025387192946  169.1245812991014645
0.0039062500000000 0.1460487863067048 0.0086667556857253  169.1366875075556209
0.0043945312500000 0.1460571564645609 0.0097233090772795  169.1503248276309819
0.0048828125000000 0.1460664466001013 0.0107718424555147  169.1654611442599219
0.0053710937500000 0.1460766346883392 0.0118121559105415  169.1820606676095906
0.0058593750000000 0.1460876966839382 0.0128441974275387  169.2000843472562508
0.0063476562500000 0.1460996068553108 0.0138680495310803  169.2194904165824312
0.0068359375000000 0.1461123381821686 0.0148839122123595  169.2402350390351273
0.0073242187500000 0.1461258627924143 0.0158920833110272  169.2622730171670469
0.0078125000000000 0.1461401524107722 0.0168929375830428  169.2855585197982293
0.0083007812500000 0.1461551787916273 0.0178869056348880  169.3100457827926846
0.0087890625000000 0.1461709141119123 0.0188744537551267  169.3356897444570279
0.0092773437500000 0.1461873313058031 0.0198560654532435  169.3624465861516057
0.0097656250000000 0.1462044043302539 0.0208322252580360  169.3902741605039353
0.0102539062500000 0.1462221083578306 0.0218034050702188  169.4191323016239892
0.0107421875000000 0.1462404198997731 0.0227700531373807  169.4489830221853310
0.0112304687500000 0.1462593168670060 0.0237325855451634  169.4797906099740885
0.0117187500000000 0.1462787785796268 0.0246913800047502  169.5115216410331129
0.0122070312500000 0.1462987857363172 0.0256467716607399  169.5441449279967969
0.0126953125000000 0.1463193203545665 0.0265990506335184  169.5776314212964166
0.0131835937500000 0.1463403656911010 0.0275484610306620  169.6119540784787034
0.0136718750000000 0.1463619061500341 0.0284952011966742  169.6470877138359299
0.0141601562500000 0.1463839271844270 0.0294394250065874  169.6830088375753292
0.0146484375000000 0.1464064151954366 0.0303812440382911  169.7196954913129900
0.0151367187500000 0.1464293574321392 0.0313207304775219  169.7571270848970073
0.0156250000000000 0.1464527418943931 0.0322579206189115  169.7952842383945438
0.0161132812500000 0.1464765572406468 0.0331928188292108  169.8341486323277820
0.0166015625000000 0.1465007927022616 0.0341254018387847  169.8737028686918222
0.0170898437500000 0.1465254380056060 0.0350556232280824  169.9139303447781515
0.0175781250000000 0.1465504833028285 0.0359834179793849  169.9548151412510890
0.0180664062500000 0.1465759191118120 0.0369087069717073  169.9963419252702295
0.0185546875000000 0.1466017362653980 0.0378314013082964  170.0384958687700987
0.0190429687500000 0.1466279258695645 0.0387514063808753  170.0812625813565830
0.0195312500000000 0.1466544792699056 0.0396686255917348  170.1246280567312112
0.0200195312500000 0.1466813880255104 0.0405829636728336  170.1685786311483923
0.0205078125000000 0.1467086438891848 0.0414943295596557  170.2131009521623071
0.0209960937500000 0.1467362387928889 0.0424026387958709  170.2581819558116081
0.0214843750000000 0.1467641648372639 0.0433078154626067  170.3038088503889185
0.0219726562500000 0.1467924142841613 0.0442097936427673  170.3499691050155036
0.0224609375000000 0.1468209795511499 0.0451085184461267  170.3966504413452014
0.0229492187500000 0.1468498532070424 0.0460039466342805  170.4438408268342187
0.0234375000000000 0.1468790279675444 0.0468960468956078  170.4915284681194123
0.0239257812500000 0.1469084966901880 0.0477847998288118  170.5397018031449647
0.0244140625000000 0.1469382523677634 0.0486701976989981  170.5883494907700708
0.0249023437500000 0.1469682881195272 0.0495522440323953  170.6374603966927168
0.0253906250000000 0.1469985971795460 0.0504309531147513  170.6870235746653464
0.0258789062500000 0.1470291728816507 0.0513063494541416  170.7370282421601075
0.0263671875000000 0.1470600086406325 0.0521784672615380  170.7874637498991603
0.0268554687500000 0.1470910979295187 0.0530473499925621  170.8383195449997913
0.0273437500000000 0.1471224342530233 0.0539130499816554  170.8895851279014835
0.0278320312500000 0.1471540111175725 0.0547756281863270  170.9412500037244627
0.0283203125000000 0.1471858219986273 0.0556351540448179  170.9933036292466397
0.0288085937500000 0.1472178603063676 0.0564917054364598  171.0457353572164720
0.0292968750000000 0.1472501193510996 0.0573453687211865  171.0985343802202294
0.0297851562500000 0.1472825923100090 0.0581962388239123  171.1516896767231231
0.0302734375000000 0.1473152721970344 0.0590444193218308  171.2051899621618531
0.0307617187500000 0.1473481518376863 0.0598900224885797  171.2590236480399426
0.0312500000000000 0.1473812238505485 0.0607331692490968  171.3131788118389807
0.0317382812500000 0.1474144806369833 0.0615739890028677  171.3676431802026343
0.0322265625000000 0.1474479143802115 0.0624126192807268  171.4224041272939303
0.0327148437500000 0.1474815170545003 0.0632492052108536  171.4774486895059908
0.0332031250000000 0.1475152804446752 0.0640838987820178  171.5327635968788798
0.0336914062500000 0.1475491961756351 0.0649168579054707  171.5883353207053403
0.0341796875000000 0.1475832557510338 0.0657482452899258  171.6441501359724668
0.0346679687500000 0.1476174505998342 0.0665782271557304  171.7001941965479261
0.0351562500000000 0.1476517721290776 0.0674069718237398  171.7564536204309888
0.0356445312500000 0.1476862117809716 0.0682346482208641  171.8129145820030601
0.0361328125000000 0.1477207610922853 0.0690614243475716  171.8695634080237653
0.0366210937500000 0.1477554117540600 0.0698874657526733  171.9263866741546565
0.0371093750000000 0.1477901556697745 0.0707129340579736  171.9833712989988328
